model,test_size,ice_num,task,dataset,retriever,accuracy_mean,accuracy_std,predictions,inputs,task_dataset
roberta-large,5,1,question-answering,commonsense_qa,zero,0.2,0.0,"[['B', 'A', 'A', 'B', 'E'], ['B', 'A', 'A', 'B', 'E'], ['B', 'A', 'A', 'B', 'E']]","[[""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?']]",qa_com
roberta-large,5,4,question-answering,commonsense_qa,zero,0.2,0.0,"[['B', 'A', 'A', 'B', 'E'], ['B', 'A', 'A', 'B', 'E'], ['B', 'A', 'A', 'B', 'E']]","[[""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?']]",qa_com
roberta-large,5,8,question-answering,commonsense_qa,zero,0.2,2.775557561562892e-17,"[['B', 'A', 'A', 'B', 'E'], ['B', 'A', 'A', 'B', 'E'], ['B', 'A', 'A', 'B', 'E']]","[[""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?']]",qa_com
roberta-large,5,1,question-answering,commonsense_qa,random,0.2,0.0,"[['B', 'D', 'D', 'D', 'E'], ['B', 'C', 'A', 'B', 'E'], ['B', 'C', 'A', 'B', 'E']]","[[""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?']]",qa_com
roberta-large,5,4,question-answering,commonsense_qa,random,0.2,0.0,"[['B', 'D', 'D', 'D', 'E'], ['B', 'C', 'A', 'B', 'E'], ['B', 'C', 'A', 'B', 'E']]","[[""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?']]",qa_com
roberta-large,5,8,question-answering,commonsense_qa,random,0.2,2.775557561562892e-17,"[['B', 'D', 'D', 'D', 'E'], ['B', 'C', 'A', 'B', 'E'], ['B', 'C', 'A', 'B', 'E']]","[[""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?']]",qa_com
roberta-large,5,1,question-answering,commonsense_qa,bm25,0.4,0.0,"[['B', 'C', 'A', 'D', 'E'], ['B', 'C', 'D', 'B', 'A'], ['E', 'C', 'D', 'B', 'C']]","[[""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?']]",qa_com
roberta-large,5,4,question-answering,commonsense_qa,bm25,0.2,0.2,"[['B', 'C', 'A', 'D', 'E'], ['B', 'C', 'D', 'B', 'A'], ['E', 'C', 'D', 'B', 'C']]","[[""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?']]",qa_com
roberta-large,5,8,question-answering,commonsense_qa,bm25,0.1333333333333333,0.1885618083164127,"[['B', 'C', 'A', 'D', 'E'], ['B', 'C', 'D', 'B', 'A'], ['E', 'C', 'D', 'B', 'C']]","[[""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?'], [""The dog was wild and didn't listen to its owner, the person had never given it what?"", 'He chuckled to himself while hiking because of a saying, he had spotted a what on the mountain?', 'Where can you buy a hairbrush along with bandages?', 'What includes both a person and a jellyfish?', 'The man wanted a new ottoman, so where did he look?']]",qa_com
roberta-large,5,1,question-answering,tasksource/bigbench,zero,0.4,0.0,"[['A', 'B', 'A', 'B', 'A'], ['A', 'B', 'A', 'B', 'A'], ['A', 'B', 'A', 'B', 'A']]","[['In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.\n\nSentence: The technician told the customer that they could pay with cash.\n  choice: Ambiguous\n  choice: The customer could pay\n  choice: The technician could pay\nPronoun identification:', 'In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.\n\nSentence: The chief encouraged the writer because they wrote a good book.\n  choice: Ambiguous\n  choice: The chief wrote a good book\n  choice: The writer wrote a good book\nPronoun identification:', 'In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.\n\nSentence: The guard called the cleaner and asked them to open the door.\n  choice: Ambiguous\n  choice: Asked the cleaner\n  choice: Asked the guard\nPronoun identification:', ""In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.\n\nSentence: After meeting with the producers, Sam goes to their office.\n  choice: Ambiguous\n  choice: It is Sam's office\n  choice: It is the producers' office\nPronoun identification:"", 'In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.\n\nSentence: The developer corrected the secretary because they better understood the problem.\n  choice: Ambiguous\n  choice: The developer understood the problem\n  choice: The secretary understood the problem\nPronoun identification:'], ['In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.\n\nSentence: The technician told the customer that they could pay with cash.\n  choice: Ambiguous\n  choice: The customer could pay\n  choice: The technician could pay\nPronoun identification:', 'In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.\n\nSentence: The chief encouraged the writer because they wrote a good book.\n  choice: Ambiguous\n  choice: The chief wrote a good book\n  choice: The writer wrote a good book\nPronoun identification:', 'In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.\n\nSentence: The guard called the cleaner and asked them to open the door.\n  choice: Ambiguous\n  choice: Asked the cleaner\n  choice: Asked the guard\nPronoun identification:', ""In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.\n\nSentence: After meeting with the producers, Sam goes to their office.\n  choice: Ambiguous\n  choice: It is Sam's office\n  choice: It is the producers' office\nPronoun identification:"", 'In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.\n\nSentence: The developer corrected the secretary because they better understood the problem.\n  choice: Ambiguous\n  choice: The developer understood the problem\n  choice: The secretary understood the problem\nPronoun identification:'], ['In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.\n\nSentence: The technician told the customer that they could pay with cash.\n  choice: Ambiguous\n  choice: The customer could pay\n  choice: The technician could pay\nPronoun identification:', 'In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.\n\nSentence: The chief encouraged the writer because they wrote a good book.\n  choice: Ambiguous\n  choice: The chief wrote a good book\n  choice: The writer wrote a good book\nPronoun identification:', 'In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.\n\nSentence: The guard called the cleaner and asked them to open the door.\n  choice: Ambiguous\n  choice: Asked the cleaner\n  choice: Asked the guard\nPronoun identification:', ""In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.\n\nSentence: After meeting with the producers, Sam goes to their office.\n  choice: Ambiguous\n  choice: It is Sam's office\n  choice: It is the producers' office\nPronoun identification:"", 'In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.\n\nSentence: The developer corrected the secretary because they better understood the problem.\n  choice: Ambiguous\n  choice: The developer understood the problem\n  choice: The secretary understood the problem\nPronoun identification:']]",qa_at
